text,date,newspaper,likes,retweets,lang,period
"En EE. UU., las visitas a las salas de emergencias de niños y adolescentes motivadas por ansiedad y autolesiones aumentaron en 2019. Las tasas de suicidio, estables de 2000 a 2007, aumentaron casi 60% en 2018 en los chicos de 10 a 24 años, según los CDC. https://t.co/DNxzq3oTQH https://t.co/vZHEc6ew5i",2022-05-16 18:35:54+00:00,nytimes,16,4,en,war
"Los adolescentes en EE. UU. sufren un cambio drástico. Hace tres décadas, los riesgos a la salud de estos jóvenes se debían a la bebida, el embarazo y el tabaco. Estas causas han disminuido mientraslas tasas de trastornos de salud mental se han disparado. https://t.co/DNxzq3oTQH",2022-05-16 18:35:53+00:00,nytimes,141,47,en,war
"Children returned to school in Buffalo, New York, on Monday morning, some weary after spending the previous night at a vigil outside the Tops supermarket where a gunman killed 10 people over the weekend. https://t.co/38UEmv2cCv",2022-05-16 18:30:11+00:00,nytimes,136,27,en,war
"A 52-year-old Buffalo man was charged Monday with making threatening calls to two local businesses on Sunday in which he referenced the shooting at Tops. Though it was unclear what the man said, he could face up to seven years in prison if convicted. https://t.co/sft4zpIHML",2022-05-16 18:20:03+00:00,nytimes,289,66,en,war
"The Gun Violence Archive, a nonprofit organization, counted at least 201 mass shootings, defined as one in which four or more people were injured or killed, through mid-May. Of those shootings, nine involved four or more fatalities. https://t.co/zd4ztbzCrv",2022-05-16 18:15:25+00:00,nytimes,90,47,en,war
"People in Lebanon went to the polls on Sunday in the country’s first parliamentary election since 2018.

It is hard to overstate how much worse life has gotten for the average person in the country since the last vote. Few expect things to improve.
https://t.co/n9Wzy916h2",2022-05-16 18:15:09+00:00,nytimes,82,23,en,war
"The Supreme Court ruled that Ted Cruz was entitled to money he lent his campaign in 2018, despite a federal cap of $250,000 on repayments of candidates’ loans to their campaigns using postelection contributions. https://t.co/2uQIYCHLae",2022-05-16 18:10:07+00:00,nytimes,175,56,en,war
"“I keep telling the other sisters, ‘Get on TikTok!’” said Sister Monica Clare, who at 56 is the youngest in her community. “‘If we’re hidden, we’re going to die out.’” https://t.co/DUIhEmQqwN https://t.co/EoYCLnmRNY",2022-05-16 18:00:17+00:00,nytimes,680,104,en,war
"Rep. Liz Cheney, Republican of Wyoming and a former House member of GOP leadership, called out her party’s leaders Monday for enabling the spread of white nationalism after a gunman who believed racist ideology killed 10 people at a Buffalo supermarket. https://t.co/XbZkfndStm https://t.co/kPb9WmFD1U",2022-05-16 17:45:08+00:00,nytimes,2348,543,en,war
"A gunman killed 10 people in a Buffalo, New York, supermarket on Saturday, making the massacre the deadliest mass shooting in the U.S. so far this year. There were three other shootings this weekend.

Here is a partial list of mass shootings this year. https://t.co/3lSHYxdqCS",2022-05-16 17:40:06+00:00,nytimes,265,108,en,war
"For many residents, the shooting at the Tops supermarket in Buffalo prompted fury at what they see as the hypocrisy of a world that turns its eyes to their neighborhood only when the racism they’ve witnessed for years has become violent. https://t.co/IwZiiVA8bI https://t.co/mJL6pycytx",2022-05-16 17:30:17+00:00,nytimes,646,115,en,war
"To work around the prohibition on directly coordinating with super PACs, candidates are posting their instructions to them inside red boxes on public pages that super PACs continuously monitor. The practice is both brazen and breathtakingly simple. https://t.co/K3LfXniQzI",2022-05-16 17:15:10+00:00,nytimes,109,44,en,war
"Telehealth start-up Cerebral is under investigation after allegedly prescribing ADHD drugs without properly screening patients, raising questions about companies that quickly prescribe drugs through online-only evaluations. https://t.co/IUPehHiftK",2022-05-16 17:00:17+00:00,nytimes,139,34,en,war
"A 68-year-old Las Vegas man was charged with murder on Monday, after authorities said he opened fire in a Southern California church, killing one person and critically wounding four others before congregants overpowered and hogtied him. https://t.co/9zEoIBZBN8",2022-05-16 16:55:07+00:00,nytimes,168,51,en,war
"Starbucks said it would reimburse travel expenses for employees who need abortions and cannot get them within 100 miles of their homes. In a memo on Monday, the company said it wanted to ensure that its employees had “access to quality health care.” https://t.co/PI1Yg2xKTx",2022-05-16 16:50:05+00:00,nytimes,1529,210,en,war
"“Hustling simps has been an art since the beginning of time!”
That OnlyFans creator you're DMing? It's probably a marketing ghostwriter impersonating a woman.
https://t.co/MgLmrcWaNg",2022-05-16 16:40:05+00:00,nytimes,153,27,en,war
"In Opinion

“You ideally want to stop a virus from spreading right at the site where people get infected,” Akiko Iwasaki, who studies Covid vaccines, writes in a guest essay. Scientists “are working on nasal Covid vaccines for this very reason.”
https://t.co/gJVZHFUPGr",2022-05-16 16:27:07+00:00,nytimes,220,50,en,war
"In a summit of six post-Soviet states hosted by President Vladimir Putin on Monday at the Kremlin, only Belarus spoke up to support him on the invasion of Ukraine. https://t.co/vZEjscNQM3",2022-05-16 16:15:09+00:00,nytimes,258,74,en,war
"The coronavirus has become more adept at reinfecting people as Omicron and its many descendants seem to have evolved to partially dodge immunity. Waves of infections two, maybe three times a year may be the future of Covid-19, some scientists now fear. https://t.co/FbS9z8mTe8",2022-05-16 16:00:04+00:00,nytimes,1701,1035,en,war
"“We are mourning. We are hurting.” People gathered for a vigil on Sunday outside the Tops supermarket in Buffalo, New York, to commemorate the 10 victims of the mass shooting there. https://t.co/DQf8OxGCc6 https://t.co/G2mCeYWzs8",2022-05-16 15:55:06+00:00,nytimes,613,131,en,war
"The worsening formula shortage in the U.S is forcing many new mothers to push themselves harder to breastfeed — which for some, can be nearly impossible.

“I have been crying about it because I’m trying my best, and nothing is working."" https://t.co/j3XOvmqxK6",2022-05-16 15:50:02+00:00,nytimes,453,187,en,war
‘All these innocent lives’: These were the victims in the Buffalo attack. https://t.co/X11cxxg80J https://t.co/zjQ7jBGeZG,2022-05-16 15:45:02+00:00,nytimes,6777,2637,en,war
"Blood moon. Flower moon. Total eclipse. Whatever you called it, Earth’s shadow draped over the moon Sunday. Here are some photos of what it looked like around the world. https://t.co/oJpCVgT9fG",2022-05-16 15:40:06+00:00,nytimes,813,136,en,war
"In Opinion

“This Catholic feels an intense disquiet that Catholic doctrine may be shaping (or misshaping) the freedom and the future of millions of women, and men,” Maureen Dowd writes. https://t.co/XY15fgBMsd",2022-05-16 15:30:10+00:00,nytimes,1247,161,en,war
"Half of all addresses in the lower 48 United States face a degree of wildfire risk. With first-ever data, we mapped the rising threat.
https://t.co/nIuT7ieAXj",2022-05-16 15:00:22+00:00,nytimes,153,41,en,war
"The accused gunman in the mass shooting in Buffalo planned a prolonged massacre after attacking a Tops supermarket Saturday. The Buffalo police commissioner said that the gunman wanted ""to continue his rampage"" by ""possibly going to another store."" https://t.co/haYf7BDHwd",2022-05-16 14:50:07+00:00,nytimes,145,47,en,war
"The magnitude of the country’s loss is nearly impossible to grasp. 

See our analysis on how America lost one million people to Covid. https://t.co/8ht2v7Trxj",2022-05-16 14:45:29+00:00,nytimes,165,74,en,war
"Also vulnerable were those whose jobs required in-person work, including those in food services, health care and transportation, deemed “essential” workers. Nearly 80% of workers ages 20 to 64 who died of Covid in 2020 worked in essential industries. https://t.co/iAPP13hPp3",2022-05-16 14:45:29+00:00,nytimes,217,103,en,war
"Nursing homes were battered, especially in the early part of the pandemic, when 43% of Covid deaths were among residents and staff at long-term care facilities. In total, more than one in five of all U.S. Covid deaths have been associated with these facilities. https://t.co/chid4Zc62E",2022-05-16 14:45:28+00:00,nytimes,60,15,en,war
"At the start of the pandemic, few could imagine that one million people in the U.S. would be lost. It’s a staggering total that struck every corner of the country. But it did not strike evenly. https://t.co/8ht2v7Trxj https://t.co/0BfxVxiPjp",2022-05-16 14:45:27+00:00,nytimes,731,256,en,war
"Russia is stopping humanitarian aid from reaching hundreds of thousands of people in the region of Kherson, Ukraine said. Doctors could run out of medicine for chronically ill patients in two weeks, a Ukrainian official said.
https://t.co/IwVEoFfAD3",2022-05-16 14:40:07+00:00,nytimes,332,163,en,war
"In Opinion

“Sometimes, big data reveals a shocking secret,” Seth Stephens-Davidowitz, an author, writes in a guest essay. “At other times, big data tells us that there is no secret. And that’s the case with happiness.” https://t.co/UxNbJUQW6v",2022-05-16 14:30:08+00:00,nytimes,139,28,en,war
"Breaking News: President Biden approved a plan to redeploy hundreds of ground forces into Somalia, reviving an open-ended U.S. counterterrorism operation. The move largely reverses Donald Trump's decision to withdraw most troops from the country.
https://t.co/uR7uYYK1s1",2022-05-16 14:17:55+00:00,nytimes,2398,1191,en,war
"Students at China’s elite Peking University protested strict Covid lockdown rules on Sunday, arguing that the measures were poorly communicated and unfair. The government quickly moved to censor videos and photos from the demonstration.
https://t.co/nZcs0mi5OZ",2022-05-16 13:44:06+00:00,nytimes,262,96,en,war
"The suspect in the Buffalo massacre had a psychiatric evaluation last year after making a threat at his high school, officials said. The episode followed what former classmates said was a pattern of increasingly bizarre behavior. https://t.co/QvE8QZH7D7",2022-05-16 13:30:07+00:00,nytimes,162,49,en,war
"Replacement theory, a racist conspiracy espoused by the suspect in the Buffalo massacre, has helped inspire a wave of mass shootings.

Once confined to the fringes, elements of the theory have become a potent force in conservative media and politics.
https://t.co/BXVBYe6HbO",2022-05-16 13:23:03+00:00,nytimes,835,253,en,war
"The suspect in the Buffalo shooting livestreamed his attack, and recordings of the video were widely shared.

The massacre has again raised questions about the role of social media sites in allowing violent and hateful content to proliferate. https://t.co/yopQulHsZH",2022-05-16 13:16:05+00:00,nytimes,272,69,en,war
"In Opinion

The Buffalo shooting is “part of a grotesque pattern,” Bret Stephens tells Gail Collins in their latest conversation. “There’s a bloody crossroads where easy access to weapons and increasingly commonplace conspiracy theories meet.”
https://t.co/nf9X6gyxPA",2022-05-16 13:00:28+00:00,nytimes,196,59,en,war
"The wildfire risk in the U.S. is widespread, severe and accelerating quickly, according to first-ever data. Half of all addresses in the lower 48 states now face a degree of risk.

See our map of the rising threat.
https://t.co/7P8JSM6SBQ",2022-05-16 12:44:06+00:00,nytimes,171,80,en,war
"Qatar has gained profound wealth by selling natural gas around the world. Now, as the West scrambles for gas in the wake of Russia’s invasion of Ukraine, the Persian Gulf state is working to ramp up production, boosting its geopolitical importance.
https://t.co/wuUcvVhUMU",2022-05-16 12:30:05+00:00,nytimes,300,89,en,war
Officials quickly labeled the racist massacre in Buffalo on Saturday domestic terrorism. Gov. Kathy Hochul of New York called it a “horrific white supremacist shooting” and an “act of terrorism.” https://t.co/U1HONIPpkT,2022-05-16 12:10:04+00:00,nytimes,463,134,en,war
"Coronavirus cases are spreading at an alarming rate across the U.S., particularly in the Northeast and the Midwest. An average of more than 90,000 new cases are being identified each day, a 60% increase from two weeks ago.
https://t.co/5ZbiY6ilO9",2022-05-16 12:01:09+00:00,nytimes,805,477,en,war
"The suspect in the Buffalo shooting wrote online that he was motivated by a racist conspiracy known as replacement theory.

What is it, and how has it become more mainstream? Listen to today’s episode of The Daily.
https://t.co/ioGaeJAtZ0",2022-05-16 11:40:06+00:00,nytimes,270,113,en,war
"NATO will grant fast-track membership to Sweden and Finland, its secretary general said. The move raises the pressure on President Vladimir Putin, who justified the invasion of Ukraine by what he cast as the need to keep NATO away from Russia’s borders.
https://t.co/IrUIXfmefF",2022-05-16 11:30:12+00:00,nytimes,2289,566,en,war
"Treasury Secretary Janet Yellen, in meetings in Warsaw on Monday, will try to get the global tax deal that she brokered last year back on track after months of deliberations. Despite initially signing on to the deal, Poland has voiced reservations.
https://t.co/CMoQC4mVGK",2022-05-16 10:57:03+00:00,nytimes,166,48,en,war
"News Analysis: Sweden’s and Finland’s embrace of NATO “is the strongest indication yet of a profound change in Europe in the face of an aggressive Russian imperial project,” @NYTimesCohen writes. “Theirs is a declaration of Western resolve.”
https://t.co/fEvxt0iZ7z",2022-05-16 10:26:03+00:00,nytimes,536,120,en,war
"A gunman who opened fire at a church in Laguna Woods, California, on Sunday, killing one person and critically wounding four others, was overpowered by congregants who then hogtied him, preventing further bloodshed, the authorities said. https://t.co/1hVduKQI59",2022-05-16 10:15:01+00:00,nytimes,364,80,en,war
