text,date,newspaper,likes,retweets,lang,period
"“They were absolutely soul mates — crazy about each other,” said a neighbor who lived on the same block as the Shavers for two decades. Then came Alzheimer’s, murder and suicide. https://t.co/1cxlCdTKhY",2019-12-30 09:40:06+00:00,nytimes,216,59,en,precovid
China’s demand for sea cucumbers has brought economic benefits to a region of the country famous for the delicacy. It has also depleted natural stocks. https://t.co/Hy5TGxzzId,2019-12-30 09:20:03+00:00,nytimes,104,41,en,precovid
The United Nations tried to protect hospitals in Syria. Russian and Syrian government forces bombed them anyway. Relief groups are giving up hope. https://t.co/kau2zkHpzt,2019-12-30 09:00:01+00:00,nytimes,192,130,en,precovid
"Ukraine swapped dozens of prisoners on Sunday with Russian-backed separatists. Among those soldiers, activists and people accused of espionage, some of whom had been languishing in jails for years. https://t.co/z5vtI0hiKY",2019-12-30 08:40:04+00:00,nytimes,136,50,en,precovid
A secretive Chinese court sentenced one of the country’s best-known Christian voices and founder of one of its largest underground churches to nine years in prison https://t.co/MDHW1J5dMJ,2019-12-30 08:20:05+00:00,nytimes,651,707,en,precovid
Europe morning briefing: Here's what you need to know to start your day https://t.co/3Eoe86nDUJ,2019-12-30 08:00:12+00:00,nytimes,51,13,en,precovid
"On the TV dating show “Flirty Dancing,” dance is not an activity to be perfected or judged but a meaningful way for people to connect https://t.co/3BF3IkJsT5",2019-12-30 07:40:06+00:00,nytimes,173,21,en,precovid
"""Little Women"" got terrific reviews (it currently holds a 95% fresh rating on Rotten Tomatoes). Audiences were clearly eager to see Greta Gerwig’s adaptation of Louisa May Alcott’s 19th-century, coming-of-age novel. https://t.co/egYQSzjAb9",2019-12-30 07:20:02+00:00,nytimes,3084,344,en,precovid
Breaking News: A Chinese scientist who claimed he had created the world’s first genetically edited babies was sentenced to three years in prison https://t.co/6wftgsY2Ko,2019-12-30 06:52:13+00:00,nytimes,1027,494,en,precovid
"Rising temperatures are increasing the range of disease-bearing mosquitoes globally. But in Honduras, the effects are compounded by government dysfunction and criminal gangs. https://t.co/lis6Fij3rz",2019-12-30 06:40:06+00:00,nytimes,276,153,en,precovid
"There is always a random nature to Week 17 in the NFL, and this year was no different. Here’s what we learned.  https://t.co/0SmzRtIa7O",2019-12-30 06:20:05+00:00,nytimes,98,10,en,precovid
The Philadelphia Eagles and a healthy contingent of its fans ended the New York Giants’ season — and perhaps Eli Manning’s career — with a dominant second half https://t.co/IhS3zROZlZ,2019-12-30 06:00:04+00:00,nytimes,128,23,en,precovid
President Vladimir Putin of Russia called President Trump to thank him for a tip from American intelligence agencies that helped prevent a terrorist attack in Russia https://t.co/UkoqU9wmgP,2019-12-30 05:40:05+00:00,nytimes,844,329,en,precovid
"Representative John Lewis announced that he had advanced pancreatic cancer. “I have been in some kind of fight — for freedom, equality, basic human rights — for nearly my entire life,” he said. “I have never faced a fight quite like the one I have now.” https://t.co/yILY20X7kB",2019-12-30 05:13:11+00:00,nytimes,3391,643,en,precovid
"These are the best performances in TV, movies, theater, music and more according to our critic @Wesley_Morris https://t.co/YKmCwqIHh5",2019-12-30 05:03:41+00:00,nytimes,119,26,en,precovid
Our critic names the best jazz of the year https://t.co/Biou3YhlhZ,2019-12-30 04:32:55+00:00,nytimes,210,42,en,precovid
"Greta Gerwig's ""Little Women"" sold an estimated $16.5 million in tickets at the domestic box office this weekend after opening on Christmas Day
https://t.co/JjngBioDLn",2019-12-30 04:00:09+00:00,nytimes,1398,141,en,precovid
"These are the best shows of 2019, according to our theater critics https://t.co/jOweEZeDQI",2019-12-30 03:33:32+00:00,nytimes,143,32,en,precovid
"Here’s the best classical music of 2019, selected by New York Times critics https://t.co/BnENNeUzsu",2019-12-30 03:02:34+00:00,nytimes,120,21,en,precovid
"In Opinion

""Whether through big flourishes like “That’s very ~on brand~” and “y.i.k.e.s.” or subtler ones like “that’s a Bold choice” and “Wowwwww,” we can now convey a full range of emotions in writing,"" writes Gretchen McCulloch
https://t.co/231TXSLuJ6",2019-12-30 02:30:08+00:00,nytimes,181,39,en,precovid
"In New York, hope sometimes comes at the price of the sun. The city welcomes poor immigrants, but its housing does not – so they turn to the basements of Queens. https://t.co/Bku9b37ZT8",2019-12-30 02:06:05+00:00,nytimes,226,76,en,precovid
The case for doing nothing https://t.co/a6rudwnNak,2019-12-30 01:45:06+00:00,nytimes,780,187,en,precovid
